,nwork_1970s_2021,nwork_2022,medium_1,medium_2,medium_3,medium_4,medium_5,name_raw
0,,,0,0,0,0,0,"Alder, Alison"
1,26,1,1,1,1,1,0,"Allan, Micky"
2,75,4,1,1,1,0,1,"Apuatimi, Jean Baptiste (Pulukatu)"
3,178,5,1,1,1,0,0,"Audette, Yvonne"
4,,,0,0,0,0,0,"(Budden) Phoenix, Frances"
5,,,0,0,0,0,0,"Baas-Backing, Solvig"
6,,,0,0,0,0,0,"Baker, Nyukana"
7,388,3,1,1,0,0,0,"Bale, Alice Marian Ellen"
8,405,10,1,1,1,0,0,"Beckett, Clarice"
9,,,0,0,0,0,0,"Bell, Eugenie Keefer"
10,219,2,1,1,0,0,0,"Bellette, Jean"
11,,,0,0,0,0,0,"Benglis, Lynda"
12,5,1,1,0,0,0,0,"Beynon, Kate"
13,6,3,1,1,0,0,0,"Binns, Vivienne"
14,248,4,1,1,1,0,0,"Black, Dorrit"
15,46,0,1,1,0,0,0,"Blumann, Elise"
16,,,0,0,0,0,0,Boomalli Aboriginal Artists' Co-operative
17,83,6,1,1,1,0,1,"Borgelt, Marion"
18,3,0,0,0,0,1,0,"Borland, Polly"
19,,,0,0,0,0,0,"Bowden, Jane"
20,20,0,1,1,0,0,0,"Bowen, Stella"
21,75,4,1,1,1,0,1,"Boyd, Hermia"
22,,,0,0,0,0,0,"Brady, Freda"
23,,,0,0,0,0,0,"Brassil, Joan"
24,24,2,1,1,1,1,0,"Brassington, Pat"
25,,,0,0,0,0,0,"Brincat, Lauren"
26,51,2,1,0,1,0,0,"Broadhurst, Florence"
27,7,0,0,0,0,0,1,"Broome-Norton, Jean"
28,5,0,0,0,0,0,0,"Burchill, Janet & McCamley, Jennifer"
29,,,0,0,0,0,0,Bush Couture
30,,,0,0,0,0,0,"Calle, Sophie"
31,,,0,0,0,0,0,"Callis, Jo Ann"
32,7,0,1,1,0,0,1,"Campbell, Barbara"
33,253,14,1,1,1,0,1,"Campbell, Cressida"
34,5,2,1,0,1,0,1,"Cardoso, Maria Fernanda"
35,769,8,1,1,1,0,0,"Carrick, Ethel"
36,,,0,0,0,0,0,"Cavaliere, Katthy"
37,,,0,0,0,0,0,"Center, Roma"
38,249,5,1,1,1,0,0,"Chapman, Dora"
39,,,0,0,0,0,0,Charis
40,,,0,0,0,0,0,"Christmann, Jenny"
41,,,0,0,0,0,0,"Clarke, Maree"
42,,,0,0,0,0,0,"Cleveland, Barbara"
43,,,0,0,0,0,0,Club Ate
44,,,0,0,0,0,0,"Cohn, Susan"
45,54,0,0,1,0,0,1,"Cohn, Ola"
46,1,0,0,1,0,0,0,"Contos, Sarah"
47,4,0,1,0,0,0,0,"Coppersmith, Yvette"
48,598,4,1,1,1,0,1,"Cossington Smith, Grace"
49,43,16,0,0,0,1,0,"Cotton, Olive"
50,2,0,0,0,0,1,0,"Croft, Brenda L."
51,37,1,1,1,0,0,0,"Crowley, Grace"
52,,,0,0,0,0,0,"Crozier, Cecily"
53,,,0,0,0,0,0,"Cullen, Philippa"
54,551,4,1,1,0,0,0,"Cumbrae Stewart, Janet"
55,141,3,1,1,1,0,1,"Cummings, Elisabeth"
56,15,0,1,1,0,0,0,"Cuppaidge, Virginia"
57,2,0,0,0,0,0,0,"Dangar, Anne"
58,213,8,0,0,0,0,0,"Davidson, Bessie"
59,16,0,1,1,1,0,1,"Davies, Isabel"
60,89,4,1,1,1,0,0,"Dawson, Janet"
61,19,3,0,1,0,0,0,"de Medici, eX"
62,27,0,0,0,1,1,0,"Deacon, Destiny"
63,27,0,0,0,0,0,0,"Deacon, Destiny & Fraser, Virginia"
64,3,0,0,0,1,0,0,"Debenham, Pam"
65,,,0,0,0,0,0,DI$COUNT UNIVER$E
66,7,0,1,0,1,0,0,"Dickens, Karla"
67,,,0,0,0,0,0,"Dobson, Rosemary"
68,,,0,0,0,0,0,"Dodd, Margaret"
69,,,0,0,0,0,0,"Donegan, Cheryl"
70,93,0,1,1,1,0,0,"Dowling, Julie"
71,,,0,0,0,0,0,"Draper, Lynda"
72,73,4,1,1,1,0,1,"Dumbrell, Lesley"
73,28,0,1,1,1,0,1,"Dwyer, Mikala"
74,99,1,0,0,0,0,0,"Dyring, Moya"
75,35,14,1,1,1,0,0,"Eager, Helen"
76,0,3,1,0,0,0,1,"Eaton, Janenne"
77,28,0,1,1,0,0,0,"Edwell, Bernice"
78,5,0,1,0,1,0,0,"Ely, Bonita"
79,2,0,0,1,0,0,1,"Englund, Patricia"
80,,,0,0,0,0,0,"Erickson, Dorothy"
81,7,0,0,0,0,1,0,"Fahd, Cherine"
82,,,0,0,0,0,0,"Featherston, Mary"
83,3,0,0,0,0,1,0,"Ferran, Anne"
84,6,0,0,0,0,0,0,"Ferrier, Tania"
85,,,0,0,0,0,0,"Fieldhouse, Janet"
86,,,0,0,0,0,0,Flamingo Park
87,8,0,1,0,1,0,1,"Floyd, Emily"
88,24,1,1,1,1,1,1,"Foley, Fiona"
89,9,2,0,0,1,1,0,"Ford, Sue"
90,,,0,0,0,0,0,"Foreshew, Nicole"
91,,,0,0,0,0,0,"Fraser, Virginia"
92,,,0,0,0,0,0,"Fullard, Corrie"
93,12,0,0,0,0,0,1,"Funaki, Mari"
94,139,8,0,0,0,0,0,"Gabori, Mirdidingkingathi Juwarnda Sally"
95,,,0,0,0,0,0,Garage Graphix
96,235,6,1,1,1,0,1,"Gascoigne, Rosalie"
97,29,0,1,1,0,1,1,"Gazzard, Marea"
98,13,2,1,1,0,0,0,"Georgetti, Diena"
99,8,0,0,0,0,1,0,"Gill, Simryn"
100,,,0,0,0,0,0,"Godden, Christine"
101,,,0,0,0,0,0,"Gojak, Mira"
102,,,0,0,0,0,0,"Goldin, Nan"
103,29,1,1,1,0,0,0,"Goodsir, Agnes"
104,2,0,0,1,1,0,0,"Gothe-Snape, Agatha"
105,1,0,0,0,1,0,0,"Gough, Julie"
106,18,0,1,1,0,0,0,"Gower, Elizabeth"
107,,,0,0,0,0,0,"Greeno, Lola"
108,,,0,0,0,0,0,"Greeno, Dulcie"
109,,,0,0,0,0,0,"Grounds, Joan"
110,,,0,0,0,0,0,GW Bot
111,18,1,1,0,0,0,0,"Hagerty, Marie"
112,60,1,1,1,1,1,1,"Hall, Fiona"
113,188,7,1,1,1,0,0,"Hanrahan, Barbara"
114,84,0,0,0,0,0,1,"Hanssen Pigott, Gwyn"
115,240,5,1,1,1,0,1,"Harper, Melinda"
116,,,0,0,0,0,0,"Hawkes, Ponch"
117,,,0,0,0,0,0,"Healy, Claire & Cordeiro, Sean"
118,137,4,1,1,0,0,0,"Hearman, Louise"
119,5,0,0,0,1,0,1,"Hessing, Mona"
120,281,6,1,1,1,0,1,"Hester, Joy"
121,415,8,1,1,1,0,0,"Heysen, Nora"
122,13,12,1,1,1,0,0,"Hicks, Petrina"
123,19,0,0,1,0,0,1,"Hinder, Margel"
124,,,0,0,0,0,0,"Hinterding, Joyce"
125,,,0,0,0,0,0,"Hinton-Bateup, Alice"
126,,,0,0,0,0,0,"Hosking, Marion"
127,,,0,0,0,0,0,"Hosokura, Mayumi"
128,3,0,1,1,0,0,0,"Hughes, Natalya"
129,,,0,0,0,0,0,"Jackson, Linda"
130,20,10,0,0,0,1,0,"Jerrems, Carol"
131,,,0,0,0,0,0,Jillposters
132,4,2,0,0,0,0,0,"Johnson, Jess & Ward, Simon"
133,4,1,0,0,0,0,0,"Johnson, Helen"
134,12,0,1,1,0,0,1,"Jubelin, Narelle"
135,2,0,0,0,0,0,0,"Juli, Mabel"
136,"1,351",31,0,0,0,0,0,"Kame Kngwarreye, Emily"
137,179,4,0,0,0,0,0,"Kantilla, Kitty (Kutuwalumi Purawarrumpatu)"
138,177,7,1,1,1,1,1,"Kathryn Barton, Del"
139,2,1,1,0,1,0,0,"Kee, Jenny"
140,3,0,0,0,0,0,0,"Ken, Sandra"
141,15,1,1,0,0,0,0,"Ken, Tjungkara"
142,,,0,0,0,0,0,"Ken Family Collaborative,"
143,90,2,1,1,1,0,1,"King, Inge"
144,,,0,0,0,0,0,"Klose, Anastasia"
145,,,0,0,0,0,0,"Kngwarray, Rosie"
146,,,0,0,0,0,0,"Kngwarray, Lily Sandover"
147,,,0,0,0,0,0,"Kngwarray, Judy Purvis"
148,2,0,0,0,0,0,1,"Koolmatrie, Yvonne"
149,,,0,0,0,0,0,"Kunmanara, Kawiny"
150,162,6,1,1,0,0,0,"Lahey, Vida"
151,61,4,0,1,1,1,0,"Laing, Rosemary"
152,,,0,0,0,0,0,"Lambe, Claire"
153,29,3,0,0,0,0,0,"Larter, Pat"
154,63,7,0,0,0,0,0,"Laurence, Janet"
155,51,4,0,0,0,0,0,"Lee, Lindy"
156,,,0,0,0,0,0,"Lewers, Darani & Larsen, Helge"
157,118,3,0,0,0,0,0,"Lewers, Margo"
158,,,0,0,0,0,0,"Liao, Pixy"
159,12,0,0,0,0,0,0,"Lloyd, Jo"
160,9,3,0,0,0,0,0,"Lowry, Fiona"
161,3,0,0,0,0,0,0,"MacDonald, Anne"
162,,,0,0,0,0,0,"MacKay, Jan"
163,,,0,0,0,0,0,"MacNamara, Shirley"
164,,,0,0,0,0,0,"MacSween, Valerie"
165,2,0,0,0,0,0,0,"Maddison, Ruth"
166,40,1,0,0,0,0,0,"Maddock, Bea"
167,104,8,0,0,0,0,0,"Madigan, Rosemary"
168,,,0,0,0,0,0,"Mahoney Griffin, Marion"
169,118,0,0,0,0,0,0,"Mahood, Marguerite"
170,30,3,0,0,0,0,0,"Mais, Hilarie"
171,2,0,0,0,0,0,0,"Makigawa, Carlier"
172,,,0,0,0,0,0,"Marawili, Noŋgirrŋa"
173,,,0,0,0,0,0,"Marika, Dr B."
174,12,0,0,0,0,0,0,"Marrinon, Linda"
175,,,0,0,0,0,0,"Marshall, Marion"
176,106,10,0,0,0,0,0,"Martin, Mandy"
177,,,0,0,0,0,0,"Matthews, Leslie"
178,19,0,0,0,0,0,0,"Maudsley, Helen"
179,133,2,0,0,0,0,0,"McGilchrist, Erica"
180,296,9,0,0,0,0,0,"McKenzie, Queenie"
181,12,1,0,0,0,0,0,"McMahon, Marie"
182,,,0,0,0,0,0,"Mesiti, Angelica"
183,,,0,0,0,0,0,"Messager, Annette"
184,,,0,0,0,0,0,"Mestrom, Sanné"
185,277,2,0,0,0,0,0,"Moffatt, Tracey"
186,,,0,0,0,0,0,"Moje, Mascha"
187,408,7,0,0,0,0,0,"Mora, Mirka"
188,22,1,0,0,0,0,0,"Nakamarra, Doreen Reid"
189,278,9,0,0,0,0,0,"Napangardi, Dorothy"
190,2,0,0,0,0,0,0,Nell
191,16,2,0,0,0,0,0,"Nelson, Jan"
192,11,0,0,0,0,0,0,"Newmarch, Ann"
193,12,0,0,0,0,0,0,"Nolan, Rose"
194,230,9,0,0,0,0,0,"Norrie, Susan"
195,32,2,0,0,0,0,0,"Nyadbi, Lena"
196,0,1,0,0,0,0,0,"O'Callaghan, Mel"
197,129,0,0,0,0,0,0,"O'Connor, Kathleen"
198,,,0,0,0,0,0,"Okabe, Momo"
199,62,1,0,0,0,0,0,"Oliver, Bronwyn"
200,49,0,0,0,0,0,0,"Olley, Margaret"
201,,,0,0,0,0,0,"O’Neil, Lillian"
202,,,0,0,0,0,0,"Ormella, Raquel"
203,3,1,0,0,0,0,0,"Orr, Jill"
204,,,0,0,0,0,0,"O'Sullivan, Kate"
205,4,0,0,0,0,0,0,"Pachucka, Ewa"
206,369,26,0,0,0,0,0,"Pardington, Fiona"
207,82,0,0,0,0,0,0,"Pate, Klytie"
208,214,3,0,0,0,0,0,"Perry, Adelaide"
209,15,1,0,0,0,0,0,"Petyarre, Myrtle"
210,1,0,0,0,0,0,0,"Phillips, Debra"
211,217,2,0,0,0,0,0,"Piccinini, Patricia"
212,18,1,0,0,0,0,0,"Piggott, Rosslynd"
213,2,0,0,0,0,0,0,"Poliness, Kerrie"
214,780,8,0,0,0,0,0,"Preston, Margaret"
215,683,5,0,0,0,0,0,"Proctor, Thea"
216,,,0,0,0,0,0,"Pwerle, Jeanie"
217,99,2,0,0,0,0,0,"Pwerle, Angelina"
218,1,0,0,0,0,0,0,"Quaill, Avril"
219,1,0,0,0,0,0,0,r e a
220,75,3,0,0,0,0,0,"Rae, Jude"
221,,,0,0,0,0,0,"Rainer, Gillian"
222,,,0,0,0,0,0,"Rarru, Margaret"
223,1,3,0,0,0,0,0,"Redgate, Jacky"
224,,,0,0,0,0,0,"Ridgewell, Brenda"
225,167,3,0,0,0,0,0,"Rix Nicholas, Hilda"
226,75,1,0,0,0,0,0,"Robertshaw, Freda"
227,,,0,0,0,0,0,Romance Was Born
228,7,0,0,0,0,0,0,"Ross, Joan"
229,4,1,0,0,0,0,0,"Rothwell, Caroline"
230,8,1,0,0,0,0,0,"Rrap, Julie"
231,2,0,0,0,0,0,0,"Rudyard, Carol"
232,,,0,0,0,0,0,"Scarce, Yhonnie"
233,,,0,0,0,0,0,"Schneemann, Carolee"
234,,,0,0,0,0,0,"Schorr, Collier"
235,,,0,0,0,0,0,"Sherman, Cindy"
236,76,6,0,0,0,0,0,"Smart, Sally"
237,3,0,0,0,0,0,0,"Smith, Gemma"
238,193,1,0,0,0,0,0,"Spowers, Ethel"
239,,,0,0,0,0,0,"Sprinkle, Annie"
240,17,2,0,0,0,0,0,"Stacey, Robyn"
241,61,9,0,0,0,0,0,"Stannage, Miriam"
242,21,1,0,0,0,0,0,"Staunton, Madonna"
243,217,1,0,0,0,0,0,"Stokes, Constance"
244,3,0,0,0,0,0,0,"Swann, Heather B."
245,,,0,0,0,0,0,"Tait, Bess Norriss"
246,55,1,0,0,0,0,0,"Teague, Violet"
247,15,2,0,0,0,0,0,"Temin, Kathy"
248,,,0,0,0,0,0,Thanakupi
249,,,0,0,0,0,0,The Hampson Family
250,,,0,0,0,0,0,The Lip Collective
251,,,0,0,0,0,0,"Timbery, Esme"
252,,,0,0,0,0,0,Tjanpi Desert Weavers
253,,,0,0,0,0,0,"Tjulyata, Topsy"
254,165,8,0,0,0,0,0,"Tomescu, Aida"
255,378,7,0,0,0,0,0,"Traill, Jessie"
256,134,1,0,0,0,0,0,"Tribe, Barbara"
257,,,0,0,0,0,0,"Tubbs, Marian"
258,,,0,0,0,0,0,"Tunkin, Maringka"
259,,,0,0,0,0,0,"Turner, Mazie Karen"
260,23,1,0,0,0,0,0,"Vongpoothorn, Savanhdary"
261,,,0,0,0,0,0,"Walker, Lyndal"
262,19,1,0,0,0,0,0,"Wallace, Anne"
263,67,2,0,0,0,0,0,"Waller, Christian"
264,,,0,0,0,0,0,"Warrngilna Ganambarr, Mavis"
265,125,4,0,0,0,0,0,"Watson, Jenny"
266,62,3,0,0,0,0,0,"Watson, Judy"
267,,,0,0,0,0,0,"Webb, Mary"
268,,,0,0,0,0,0,"West, Caroline Mary"
269,2,0,0,0,0,0,0,"West, Margaret"
270,13,0,0,0,0,0,0,"Whiting, Ada"
271,3,0,0,0,0,0,0,"Whiting, Lorri"
272,1,0,0,0,0,0,0,"Williams, Justene"
273,,,0,0,0,0,0,Women's Domestic Needlework Group
274,,,0,0,0,0,0,"Woodman, Francesca"
275,3,0,0,0,0,0,0,"Worth, Margaret"
276,14,1,0,0,0,0,0,"Wright, Judith"
277,,,0,0,0,0,0,"Yarinkura, Lena"
278,,,0,0,0,0,0,"Young, Tingila Yaritji"
279,,,0,0,0,0,0,"Yunupiŋgu, Nyapanyapa"
280,50,4,0,0,0,0,0,"Zahalka, Anne"
